[2025-12-30T12:03:30.851+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2553, completion-tokens, 97, total-tokens, 2650, cost-ms, 3718, requestId, 11118891-4354-9491-b9af-35befd544b43, temperature, 0
[2025-12-30T12:03:40.371+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2947, completion-tokens, 96, total-tokens, 3043, cost-ms, 3514, requestId, a03e1a04-5a68-9376-b38f-024666597467, temperature, 0
[2025-12-30T12:03:46.099+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 900, completion-tokens, 81, total-tokens, 981, cost-ms, 2496, requestId, 2ae07117-c709-9e8e-af3e-7bd69b489ff0, temperature, 0
[2025-12-30T12:03:50.318+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 900, completion-tokens, 89, total-tokens, 989, cost-ms, 3158, requestId, 12112218-d216-9fef-8f06-cc7d08775c13, temperature, 0
[2025-12-30T12:03:54.200+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 900, completion-tokens, 73, total-tokens, 973, cost-ms, 2675, requestId, f49ec1e4-d215-9dc3-a689-8455f5ef2257, temperature, 0
[2025-12-30T12:03:59.094+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 877, completion-tokens, 92, total-tokens, 969, cost-ms, 3108, requestId, 197fab0e-e26c-9573-a14c-bc27564ae682, temperature, 0
[2025-12-30T12:04:04.696+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 881, completion-tokens, 104, total-tokens, 985, cost-ms, 3830, requestId, 86404987-5c72-9407-aec6-54a64191b58d, temperature, 0
[2025-12-30T12:04:10.062+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 876, completion-tokens, 112, total-tokens, 988, cost-ms, 3515, requestId, aeb039be-e2da-9df6-a3bf-0f7c13aaa976, temperature, 0
[2025-12-30T12:04:17.553+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 876, completion-tokens, 86, total-tokens, 962, cost-ms, 5692, requestId, 025d8a8b-b74c-9c1e-b729-7c835d9d5c40, temperature, 0
[2025-12-30T12:04:20.416+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 497, completion-tokens, 36, total-tokens, 533, cost-ms, 1627, requestId, 1807c206-69c8-9618-878b-217d14b4bf75, temperature, 0
[2025-12-30T12:04:27.244+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 885, completion-tokens, 81, total-tokens, 966, cost-ms, 5041, requestId, 385665b2-8acf-972e-b2ad-c77a76f14d3f, temperature, 0
