[2026-01-12T17:31:17.884+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3250, completion-tokens, 98, total-tokens, 3348, cost-ms, 3816, requestId, d5e7048c-b6fa-920c-8561-20054c56588b, temperature, 0
[2026-01-12T17:31:24.300+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4461, completion-tokens, 100, total-tokens, 4561, cost-ms, 3914, requestId, 78c6d692-a05e-9ff0-b69f-43d3c7f1c78e, temperature, 0
[2026-01-12T17:31:30.496+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4599, completion-tokens, 87, total-tokens, 4686, cost-ms, 3781, requestId, f0fdc5e4-777e-96c7-9176-26f7677030b7, temperature, 0
[2026-01-12T17:31:43.175+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 1712, completion-tokens, 279, total-tokens, 1991, cost-ms, 10704, requestId, 4cdf01f8-76ea-90db-8249-2172879090dc, temperature, 0
[2026-01-12T17:53:59.029+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3250, completion-tokens, 96, total-tokens, 3346, cost-ms, 4132, requestId, 78d02de1-3c5f-9bef-990d-40170e773237, temperature, 0
[2026-01-12T17:54:05.817+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4459, completion-tokens, 108, total-tokens, 4567, cost-ms, 4614, requestId, e0ed71b4-6b94-9b8f-9c25-a46a7d1d1d93, temperature, 0
[2026-01-12T17:54:12.304+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4605, completion-tokens, 82, total-tokens, 4687, cost-ms, 4187, requestId, c7e6283b-fc3e-9dcf-bef0-7f468598dfae, temperature, 0
[2026-01-12T17:56:15.225+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3255, completion-tokens, 102, total-tokens, 3357, cost-ms, 4121, requestId, 7dec2d01-9260-9954-b42b-3b9daee4a61f, temperature, 0
[2026-01-12T17:56:22.542+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4470, completion-tokens, 110, total-tokens, 4580, cost-ms, 4398, requestId, 76584e86-60f7-9382-8343-99a66bcedbe8, temperature, 0
[2026-01-12T17:56:29.315+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4618, completion-tokens, 82, total-tokens, 4700, cost-ms, 3538, requestId, d866e532-1e51-9e14-836a-54e4e8d04e04, temperature, 0
[2026-01-12T17:57:23.937+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3255, completion-tokens, 102, total-tokens, 3357, cost-ms, 6032, requestId, 2e5b4ba2-8138-9d8a-a789-51f3e7761a47, temperature, 0
[2026-01-12T17:57:30.210+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4470, completion-tokens, 110, total-tokens, 4580, cost-ms, 3486, requestId, 22090bd1-c963-9ddf-b165-ed7110f3a1f6, temperature, 0
[2026-01-12T17:57:38.525+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4618, completion-tokens, 82, total-tokens, 4700, cost-ms, 5086, requestId, 9085b52e-7c7f-94bd-a8cc-ac8d2a35e8ae, temperature, 0
[2026-01-12T17:57:44.616+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 1701, completion-tokens, 53, total-tokens, 1754, cost-ms, 2222, requestId, 4fb3ded8-8930-9cbb-bf8e-a4cae64b73d5, temperature, 0
