[2025-12-30T15:32:54.843+08:00] resRect { left: 273, top: 164, width: 66, height: 82 }
[2025-12-30T15:33:05.299+08:00] resRect { left: 31, top: 420, width: 295, height: 28 }
[2025-12-30T15:33:14.153+08:00] resRect { left: 31, top: 487, width: 298, height: 49 }
[2025-12-30T15:33:23.640+08:00] resRect { left: 129, top: 715, width: 217, height: 42 }
[2025-12-30T15:33:30.557+08:00] resRect { left: 36, top: 729, width: 258, height: 23 }
[2025-12-30T15:33:37.421+08:00] resRect { left: 27, top: 303, width: 305, height: 56 }
[2025-12-30T15:33:49.108+08:00] resRect { left: 111, top: 640, width: 46, height: 58 }
[2025-12-31T14:48:19.543+08:00] resRect { left: 273, top: 168, width: 64, height: 82 }
[2025-12-31T15:28:16.189+08:00] resRect { left: 49, top: 510, width: 261, height: 52 }
[2025-12-31T15:33:01.669+08:00] resRect { left: 273, top: 168, width: 64, height: 77 }
[2025-12-31T15:37:00.264+08:00] resRect { left: 273, top: 168, width: 62, height: 78 }
[2025-12-31T15:37:06.424+08:00] resRect { left: 48, top: 512, width: 262, height: 50 }
[2025-12-31T15:37:12.941+08:00] resRect { left: 270, top: 42, width: 76, height: 32 }
[2025-12-31T15:41:49.814+08:00] resRect { left: 273, top: 168, width: 62, height: 78 }
[2025-12-31T15:41:56.102+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2025-12-31T15:42:03.046+08:00] resRect { left: 270, top: 42, width: 76, height: 34 }
[2025-12-31T15:43:11.662+08:00] resRect { left: 273, top: 168, width: 62, height: 78 }
[2025-12-31T15:43:19.158+08:00] resRect { left: 50, top: 512, width: 260, height: 50 }
[2025-12-31T15:43:25.357+08:00] resRect { left: 270, top: 42, width: 76, height: 34 }
[2025-12-31T15:43:43.461+08:00] resRect { left: 122, top: 718, width: 226, height: 43 }
[2025-12-31T15:43:48.405+08:00] resRect { left: 122, top: 625, width: 115, height: 30 }
[2025-12-31T15:43:53.770+08:00] resRect { left: 270, top: 687, width: 76, height: 30 }
[2025-12-31T15:44:24.740+08:00] resRect { left: 273, top: 164, width: 66, height: 82 }
[2025-12-31T15:44:31.982+08:00] resRect { left: 50, top: 512, width: 259, height: 50 }
[2025-12-31T15:44:38.417+08:00] resRect { left: 270, top: 42, width: 76, height: 34 }
[2025-12-31T15:44:56.859+08:00] resRect { left: 122, top: 716, width: 221, height: 45 }
[2025-12-31T15:45:01.405+08:00] resRect { left: 122, top: 625, width: 115, height: 29 }
[2025-12-31T15:45:06.677+08:00] resRect { left: 270, top: 686, width: 76, height: 31 }
[2025-12-31T15:48:19.181+08:00] resRect { left: 273, top: 168, width: 62, height: 73 }
[2025-12-31T15:48:25.271+08:00] resRect { left: 49, top: 514, width: 261, height: 48 }
[2025-12-31T15:48:31.815+08:00] resRect { left: 269, top: 46, width: 77, height: 28 }
[2025-12-31T15:53:48.905+08:00] resRect { left: 273, top: 164, width: 66, height: 85 }
[2025-12-31T15:53:55.414+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2025-12-31T15:54:02.169+08:00] resRect { left: 269, top: 46, width: 77, height: 28 }
[2025-12-31T15:54:53.260+08:00] resRect { left: 273, top: 164, width: 66, height: 85 }
[2025-12-31T15:55:00.103+08:00] resRect { left: 50, top: 514, width: 260, height: 48 }
[2025-12-31T15:55:06.414+08:00] resRect { left: 270, top: 42, width: 76, height: 34 }
[2025-12-31T16:01:22.807+08:00] resRect { left: 273, top: 164, width: 66, height: 82 }
[2025-12-31T16:01:29.398+08:00] resRect { left: 48, top: 512, width: 262, height: 49 }
[2025-12-31T16:01:35.700+08:00] resRect { left: 270, top: 42, width: 76, height: 34 }
[2025-12-31T16:04:12.839+08:00] resRect { left: 276, top: 168, width: 63, height: 84 }
[2025-12-31T16:04:19.041+08:00] resRect { left: 48, top: 512, width: 262, height: 50 }
[2025-12-31T16:04:25.734+08:00] resRect { left: 270, top: 46, width: 76, height: 30 }
[2025-12-31T16:14:54.321+08:00] resRect { left: 273, top: 168, width: 62, height: 78 }
[2025-12-31T16:15:00.703+08:00] resRect { left: 49, top: 514, width: 261, height: 48 }
[2025-12-31T16:15:08.229+08:00] resRect { left: 266, top: 46, width: 80, height: 28 }
[2025-12-31T16:36:30.490+08:00] resRect { left: 273, top: 164, width: 66, height: 82 }
[2025-12-31T16:36:38.060+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2025-12-31T16:36:45.459+08:00] resRect { left: 270, top: 46, width: 76, height: 28 }
[2025-12-31T16:37:46.637+08:00] resRect { left: 273, top: 168, width: 64, height: 81 }
[2025-12-31T16:37:52.766+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2025-12-31T16:38:00.156+08:00] resRect { left: 266, top: 46, width: 80, height: 30 }
[2025-12-31T16:39:53.172+08:00] resRect { left: 273, top: 168, width: 62, height: 73 }
[2025-12-31T16:39:59.421+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2025-12-31T16:40:06.119+08:00] resRect { left: 269, top: 46, width: 73, height: 28 }
[2025-12-31T16:41:57.482+08:00] resRect { left: 273, top: 168, width: 64, height: 77 }
[2025-12-31T16:42:04.706+08:00] resRect { left: 50, top: 510, width: 259, height: 52 }
[2025-12-31T16:42:12.087+08:00] resRect { left: 266, top: 46, width: 80, height: 30 }
[2025-12-31T16:42:16.562+08:00] resRect { left: 122, top: 718, width: 219, height: 43 }
[2025-12-31T16:42:43.433+08:00] resRect { left: 273, top: 168, width: 62, height: 82 }
[2025-12-31T16:42:50.130+08:00] resRect { left: 50, top: 512, width: 259, height: 50 }
[2025-12-31T16:55:05.968+08:00] resRect { left: 273, top: 168, width: 62, height: 78 }
[2025-12-31T16:55:12.041+08:00] resRect { left: 49, top: 514, width: 261, height: 48 }
[2025-12-31T16:57:50.075+08:00] resRect { left: 273, top: 164, width: 66, height: 82 }
[2025-12-31T16:57:56.290+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2025-12-31T17:00:04.395+08:00] resRect { left: 280, top: 168, width: 61, height: 73 }
[2025-12-31T17:00:10.884+08:00] resRect { left: 48, top: 512, width: 262, height: 50 }
[2025-12-31T17:01:59.789+08:00] resRect { left: 273, top: 168, width: 66, height: 78 }
[2025-12-31T17:02:06.298+08:00] resRect { left: 47, top: 514, width: 263, height: 51 }
[2025-12-31T17:04:45.013+08:00] resRect { left: 273, top: 168, width: 64, height: 78 }
[2025-12-31T17:04:51.536+08:00] resRect { left: 48, top: 512, width: 262, height: 50 }
[2025-12-31T17:05:46.903+08:00] resRect { left: 273, top: 168, width: 64, height: 78 }
[2025-12-31T17:05:53.647+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2025-12-31T17:15:31.989+08:00] resRect { left: 276, top: 168, width: 63, height: 78 }
[2025-12-31T17:15:39.737+08:00] resRect { left: 47, top: 512, width: 263, height: 49 }
[2025-12-31T17:17:42.871+08:00] resRect { left: 273, top: 168, width: 64, height: 77 }
[2025-12-31T17:17:51.627+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2025-12-31T17:21:39.374+08:00] resRect { left: 273, top: 164, width: 66, height: 85 }
[2025-12-31T17:21:47.147+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2025-12-31T17:23:09.988+08:00] resRect { left: 276, top: 168, width: 63, height: 78 }
[2025-12-31T17:23:19.013+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2025-12-31T17:24:53.158+08:00] resRect { left: 273, top: 164, width: 66, height: 82 }
[2025-12-31T17:25:01.560+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2025-12-31T17:25:50.445+08:00] resRect { left: 273, top: 168, width: 66, height: 78 }
[2025-12-31T17:25:59.241+08:00] resRect { left: 47, top: 514, width: 263, height: 48 }
[2025-12-31T17:26:25.254+08:00] resRect { left: 122, top: 714, width: 219, height: 43 }
[2025-12-31T17:26:32.032+08:00] resRect { left: 122, top: 620, width: 113, height: 35 }
[2025-12-31T17:30:31.756+08:00] resRect { left: 273, top: 168, width: 66, height: 81 }
[2025-12-31T17:30:39.695+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2025-12-31T17:30:58.277+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2025-12-31T17:32:19.211+08:00] resRect { left: 273, top: 168, width: 64, height: 77 }
[2025-12-31T17:32:50.065+08:00] resRect { left: 93, top: 640, width: 171, height: 53 }
[2025-12-31T17:40:36.003+08:00] resRect { left: 276, top: 168, width: 63, height: 81 }
[2025-12-31T17:40:44.488+08:00] resRect { left: 48, top: 512, width: 262, height: 50 }
[2025-12-31T17:41:02.773+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2025-12-31T17:41:09.157+08:00] resRect { left: 122, top: 714, width: 219, height: 47 }
[2025-12-31T17:42:58.286+08:00] resRect { left: 273, top: 168, width: 64, height: 77 }
[2025-12-31T17:43:06.637+08:00] resRect { left: 47, top: 514, width: 263, height: 48 }
[2025-12-31T17:43:23.694+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2025-12-31T17:43:30.286+08:00] resRect { left: 122, top: 717, width: 219, height: 41 }
[2025-12-31T17:44:24.925+08:00] resRect { left: 273, top: 168, width: 62, height: 78 }
[2025-12-31T17:44:33.688+08:00] resRect { left: 50, top: 510, width: 259, height: 52 }
[2025-12-31T17:44:51.546+08:00] resRect { left: 93, top: 640, width: 171, height: 53 }
[2025-12-31T17:44:59.007+08:00] resRect { left: 122, top: 714, width: 219, height: 44 }
[2025-12-31T17:45:04.854+08:00] resRect { left: 122, top: 628, width: 113, height: 25 }
[2025-12-31T17:48:22.764+08:00] resRect { left: 276, top: 168, width: 63, height: 84 }
[2025-12-31T17:48:30.972+08:00] resRect { left: 50, top: 514, width: 259, height: 48 }
[2025-12-31T17:48:49.102+08:00] resRect { left: 93, top: 640, width: 171, height: 53 }
[2025-12-31T17:48:56.266+08:00] resRect { left: 122, top: 714, width: 219, height: 42 }
[2025-12-31T17:49:02.715+08:00] resRect { left: 122, top: 625, width: 115, height: 30 }
[2025-12-31T17:49:15.063+08:00] resRect { left: 273, top: 687, width: 73, height: 26 }
[2025-12-31T17:49:31.690+08:00] resRect { left: 30, top: 327, width: 298, height: 37 }
[2025-12-31T17:49:43.268+08:00] resRect { left: 31, top: 420, width: 297, height: 28 }
[2025-12-31T17:49:54.311+08:00] resRect { left: 27, top: 405, width: 305, height: 51 }
[2025-12-31T17:50:03.887+08:00] resRect { left: 31, top: 487, width: 298, height: 49 }
[2025-12-31T17:50:13.743+08:00] resRect { left: 129, top: 715, width: 217, height: 46 }
[2025-12-31T17:50:20.809+08:00] resRect { left: 204, top: 643, width: 53, height: 51 }
[2025-12-31T17:50:31.524+08:00] resRect { left: 37, top: 729, width: 257, height: 21 }
[2025-12-31T17:54:18.975+08:00] resRect { left: 273, top: 164, width: 66, height: 82 }
[2025-12-31T17:54:27.091+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2025-12-31T17:54:44.361+08:00] resRect { left: 93, top: 640, width: 171, height: 54 }
[2025-12-31T17:54:51.250+08:00] resRect { left: 122, top: 714, width: 219, height: 44 }
[2025-12-31T17:54:57.312+08:00] resRect { left: 122, top: 620, width: 113, height: 27 }
[2025-12-31T17:55:11.471+08:00] resRect { left: 273, top: 687, width: 73, height: 30 }
[2025-12-31T17:55:28.754+08:00] resRect { left: 31, top: 327, width: 297, height: 37 }
[2025-12-31T17:55:39.957+08:00] resRect { left: 31, top: 417, width: 299, height: 28 }
[2025-12-31T17:55:50.598+08:00] resRect { left: 30, top: 405, width: 298, height: 43 }
[2025-12-31T17:56:00.309+08:00] resRect { left: 31, top: 487, width: 298, height: 49 }
[2025-12-31T17:56:10.686+08:00] resRect { left: 129, top: 715, width: 217, height: 42 }
[2025-12-31T17:56:17.987+08:00] resRect { left: 205, top: 643, width: 52, height: 56 }
[2025-12-31T17:56:29.066+08:00] resRect { left: 162, top: 484, width: 35, height: 41 }
