[2025-12-30T11:48:17.648+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2509, completion-tokens, 48, total-tokens, 2557, cost-ms, 2332, requestId, 4fa89818-c8c4-9031-9e6d-38a59fcbcad6, temperature, 0
[2025-12-30T11:48:22.201+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3465, completion-tokens, 66, total-tokens, 3531, cost-ms, 2726, requestId, 2e2b5c16-2209-97c3-b7c6-43c4f01e13b4, temperature, 0
[2025-12-30T11:48:29.376+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2521, completion-tokens, 49, total-tokens, 2570, cost-ms, 2500, requestId, ea65a12e-3352-9edc-92ba-7b8b38d51684, temperature, 0
[2025-12-30T11:48:35.284+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3470, completion-tokens, 54, total-tokens, 3524, cost-ms, 2442, requestId, 8cf4d58a-5b83-9ea1-98d8-f6b7f4234016, temperature, 0
[2025-12-30T11:48:42.322+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4165, completion-tokens, 95, total-tokens, 4260, cost-ms, 3707, requestId, db385adb-e226-94c4-968c-aca585ba780b, temperature, 0
[2025-12-30T11:48:48.733+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4298, completion-tokens, 36, total-tokens, 4334, cost-ms, 3017, requestId, 05a702fd-d49c-9d5b-a4e1-aa1207c55f36, temperature, 0
[2025-12-30T11:48:55.871+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4372, completion-tokens, 92, total-tokens, 4464, cost-ms, 5063, requestId, 7a24a294-c06f-9f62-8151-1c1f9bcb2113, temperature, 0
[2025-12-30T11:49:02.509+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4502, completion-tokens, 92, total-tokens, 4594, cost-ms, 3545, requestId, b1480e30-d988-9f00-b3c5-b7c3f32ad18b, temperature, 0
[2025-12-30T11:49:08.992+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4632, completion-tokens, 88, total-tokens, 4720, cost-ms, 3866, requestId, 74d3ee03-faee-9e92-a939-746d96a6818b, temperature, 0
[2025-12-30T11:49:17.764+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4758, completion-tokens, 96, total-tokens, 4854, cost-ms, 4549, requestId, e84bbd00-6a4e-94f1-a16d-8dae46ff2741, temperature, 0
[2025-12-30T11:49:28.752+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4892, completion-tokens, 94, total-tokens, 4986, cost-ms, 4027, requestId, 7d0eadfb-1f0f-97f6-b445-b574e43242d1, temperature, 0
